time,open,high,low,close,volumeto,coin
2020-05-04,8907.19,8968.9,8537.49,8881.65,568639005.2,bitcoin
2020-05-05,8881.65,9119.13,8781.58,9029.75,538111122.64,bitcoin
2020-05-06,9029.75,9408.99,8924.06,9153.2,818515486.36,bitcoin
2020-05-07,9153.2,10064.33,9042.52,9999.93,1213223439.69,bitcoin
2020-05-08,9999.93,10041.73,9728.64,9808.18,907665361.58,bitcoin
2020-05-09,9808.18,9912.22,9525.77,9541.13,580103588.21,bitcoin
2020-05-10,9541.13,9556.85,8228.22,8735.05,1159765920.88,bitcoin
2020-05-11,8735.05,9164.84,8228.58,8568.88,1259789388.45,bitcoin
2020-05-12,8568.88,8975.74,8541.95,8821.18,580579256.62,bitcoin
2020-05-13,8821.18,9407.67,8807.57,9317.44,622255318.55,bitcoin
2020-05-14,9317.44,9937.97,9263.29,9793.19,936692997.58,bitcoin
2020-05-15,9793.19,9841.71,9149.13,9311.69,798930933.92,bitcoin
2020-05-16,9311.69,9584.9,9224.32,9387.08,348262438.61,bitcoin
2020-05-17,9387.08,9885.55,9334.23,9670.56,505834872.59,bitcoin
2020-05-18,9670.56,9943.74,9476.37,9722.73,606235218.3,bitcoin
2020-05-19,9722.73,9890.69,9471.96,9780.2,587660019.81,bitcoin
2020-05-20,9780.2,9832.94,9323.82,9509.45,593918718.08,bitcoin
2020-05-21,9509.45,9566.81,8811.54,9059.11,798218781.95,bitcoin
2020-05-22,9059.11,9265.04,8936.82,9170.74,405255700.32,bitcoin
2020-05-23,9170.74,9311.34,9101.08,9186.19,217819517.42,bitcoin
2020-05-24,9186.19,9307.11,8707.14,8718.49,412753415.47,bitcoin
2020-05-25,8718.49,8977.43,8639.46,8901.48,386241517.98,bitcoin
2020-05-26,8901.48,9011.53,8705.66,8844.5,352930782.24,bitcoin
2020-05-27,8844.5,9222.3,8820.55,9204.62,381475134.6,bitcoin
2020-05-28,9204.62,9619.34,9112.3,9579.71,530613444.11,bitcoin
2020-05-29,9579.71,9601.43,9344.8,9424.62,379875666.16,bitcoin
2020-05-30,9424.62,9735.73,9340.45,9699.78,235049817.45,bitcoin
2020-05-31,9699.78,9703.51,9400.25,9450.47,212143031.97,bitcoin
2020-06-01,9450.47,10359.02,9421.6,10211.23,435270237.66,bitcoin
2020-06-02,10211.23,10232.25,9344.53,9523.75,812990990.27,bitcoin
2020-06-03,9523.75,9666.25,9408.56,9666.06,316212538.78,bitcoin
2020-06-04,9666.06,9877.89,9470.9,9794.55,418578381.27,bitcoin
2020-06-05,9794.55,9846.54,9611.19,9622.02,406449067.36,bitcoin
2020-06-06,9622.02,9728.4,9536.15,9671.46,221180782.78,bitcoin
2020-06-07,9671.46,9806.21,9410.33,9750.7,374577294.36,bitcoin
2020-06-08,9750.7,9801.19,9658.72,9782.58,318606275.83,bitcoin
2020-06-09,9782.58,9884.83,9604.13,9779.7,376816490.4,bitcoin
2020-06-10,9779.7,9990.4,9708.63,9891.84,395005942.58,bitcoin
2020-06-11,9891.84,9970.77,9093.42,9268.13,827582593.73,bitcoin
2020-06-12,9268.13,9548.13,9238.24,9464.23,384322097.92,bitcoin
2020-06-13,9464.23,9492.0,9363.89,9474.65,156509665.57,bitcoin
2020-06-14,9474.65,9479.56,9251.02,9333.7,181308843.48,bitcoin
2020-06-15,9333.7,9498.69,8909.5,9429.65,616170633.01,bitcoin
2020-06-16,9429.65,9585.17,9383.33,9526.7,378768702.55,bitcoin
2020-06-17,9526.7,9550.06,9243.06,9459.13,325191529.46,bitcoin
2020-06-18,9459.13,9480.04,9276.18,9380.67,236301644.47,bitcoin
2020-06-19,9380.67,9419.99,9239.58,9301.83,295439171.8,bitcoin
2020-06-20,9301.83,9394.04,9179.1,9359.18,182464228.19,bitcoin
2020-06-21,9359.18,9418.22,9282.53,9292.81,123480945.26,bitcoin
2020-06-22,9292.81,9774.79,9283.26,9691.61,393567343.68,bitcoin
2020-06-23,9691.61,9720.11,9580.47,9624.3,296221140.11,bitcoin
2020-06-24,9624.3,9664.38,9206.05,9292.94,461570781.81,bitcoin
2020-06-25,9292.94,9335.65,9000.53,9241.32,435446758.27,bitcoin
2020-06-26,9241.32,9289.32,9041.42,9158.07,371373315.29,bitcoin
2020-06-27,9158.07,9190.27,8867.34,9007.14,254990739.33,bitcoin
2020-06-28,9007.14,9189.74,8946.05,9120.39,179558602.81,bitcoin
2020-06-29,9120.39,9234.33,9026.42,9187.07,283764928.26,bitcoin
2020-06-30,9187.07,9200.99,9068.77,9136.47,213905502.74,bitcoin
2020-07-01,9136.47,9299.67,9097.33,9238.89,274835041.39,bitcoin
2020-07-02,9238.89,9267.84,8954.67,9092.8,343433369.43,bitcoin
2020-07-03,9092.8,9127.05,9047.38,9066.46,198428092.21,bitcoin
2020-07-04,9066.46,9195.91,9052.4,9142.2,147598290.89,bitcoin
